Date,Open,High,Low,Close,Adj Close,Volume
2024-02-09,49.349998,49.400002,46.900002,47.349998,47.349998,90732188
2024-02-12,47.950001,48.200001,45.000000,45.000000,45.000000,65398403
2024-02-13,43.650002,44.650002,42.750000,43.900002,43.900002,135410453
2024-02-14,42.450001,46.049999,42.049999,46.049999,46.049999,59861806
2024-02-15,46.950001,47.750000,46.500000,47.049999,47.049999,44781950
2024-02-16,47.700001,47.700001,46.000000,46.849998,46.849998,23858185
2024-02-19,47.500000,47.599998,46.049999,46.150002,46.150002,19476010
2024-02-20,46.650002,46.849998,45.599998,45.799999,45.799999,20108565
2024-02-21,45.950001,46.000000,43.750000,44.750000,44.750000,30440623
2024-02-22,44.849998,45.299999,43.799999,44.799999,44.799999,23276564
2024-02-23,45.150002,45.599998,44.799999,44.900002,44.900002,25286705
2024-02-26,45.750000,45.750000,43.349998,43.750000,43.750000,30050547
2024-02-27,44.200001,45.000000,43.500000,44.549999,44.549999,22624252
2024-02-28,44.599998,44.650002,42.349998,43.200001,43.200001,36887600
2024-02-29,43.000000,45.349998,41.049999,45.250000,45.250000,117200579
2024-03-01,45.599998,46.000000,44.099998,44.299999,44.299999,22093410
2024-03-04,42.799999,43.799999,41.750000,42.799999,42.799999,55074786
2024-03-05,41.650002,41.650002,40.700001,40.700001,40.700001,53278004
2024-03-06,39.000000,39.000000,38.700001,38.700001,38.700001,29049668
2024-03-07,37.200001,40.599998,37.200001,40.599998,40.599998,58288425
2024-03-11,41.500000,42.000000,39.000000,39.349998,39.349998,39527748
2024-03-12,39.349998,40.000000,37.400002,39.299999,39.299999,47404379
2024-03-13,38.500000,39.299999,37.349998,37.349998,37.349998,38160910
2024-03-14,35.500000,39.200001,35.500000,39.049999,39.049999,67013191
2024-03-15,39.000000,40.000000,37.500000,39.400002,39.400002,144957453
2024-03-18,38.849998,38.900002,37.700001,38.549999,38.549999,22647157
2024-03-19,38.400002,38.400002,36.799999,37.150002,37.150002,20548501
2024-03-20,37.150002,37.700001,35.599998,36.299999,36.299999,26893468
2024-03-21,37.000000,38.099998,36.500000,37.299999,37.299999,54916534
2024-03-22,37.000000,37.950001,36.349998,37.349998,37.349998,17891396
