Date,Open,High,Low,Close,Adj Close,Volume
2019-05-13,117.949997,119.699997,116.750000,117.150002,117.150002,46832
2019-05-14,117.150002,117.949997,115.349998,117.000000,117.000000,38332
2019-05-15,117.550003,119.050003,114.750000,115.199997,115.199997,32842
2019-05-16,115.199997,115.349998,110.050003,111.599998,111.599998,103291
2019-05-17,113.000000,115.099998,110.400002,114.300003,114.300003,194960
2019-05-20,119.000000,134.899994,118.949997,120.849998,120.849998,1820109
2019-05-21,122.000000,122.099998,118.050003,121.099998,121.099998,442985
2019-05-22,121.800003,121.800003,119.099998,119.699997,119.699997,146848
2019-05-23,121.099998,126.900002,120.199997,121.699997,121.699997,1991619
2019-05-24,122.550003,130.850006,122.550003,127.949997,127.949997,721310
2019-05-27,129.600006,146.899994,129.500000,145.050003,145.050003,1600481
2019-05-28,146.000000,149.800003,142.050003,144.149994,144.149994,888283
2019-05-29,144.949997,154.850006,140.550003,149.300003,149.300003,732154
2019-05-30,153.300003,155.000000,145.250000,146.750000,146.750000,738496
2019-05-31,148.699997,150.800003,142.050003,142.850006,142.850006,760698
2019-06-03,144.000000,148.449997,142.000000,146.949997,146.949997,194022
2019-06-04,146.399994,147.250000,142.000000,144.949997,144.949997,184334
2019-06-06,146.000000,146.000000,142.100006,143.199997,143.199997,172442
2019-06-07,143.050003,143.949997,140.600006,142.649994,142.649994,102518
2019-06-10,145.699997,145.699997,138.250000,140.149994,140.149994,125660
2019-06-11,140.149994,142.550003,134.300003,139.550003,139.550003,1163757
2019-06-12,141.899994,143.500000,138.500000,139.199997,139.199997,82498
2019-06-13,138.000000,143.449997,135.949997,141.550003,141.550003,189426
2019-06-14,142.500000,142.500000,138.000000,140.050003,140.050003,125277
2019-06-17,139.000000,139.699997,136.500000,137.050003,137.050003,170032
2019-06-18,136.050003,145.800003,136.050003,139.850006,139.850006,264047
2019-06-19,141.500000,141.500000,132.649994,134.149994,134.149994,228450
2019-06-20,133.449997,137.899994,133.000000,136.949997,136.949997,101694
2019-06-21,136.199997,136.550003,134.350006,135.449997,135.449997,91344
2019-06-24,134.000000,137.000000,132.500000,133.649994,133.649994,132233
2019-06-25,133.000000,135.199997,131.500000,133.699997,133.699997,78690
2019-06-26,135.000000,140.350006,133.850006,138.300003,138.300003,163450
2019-06-27,140.449997,142.000000,138.949997,140.600006,140.600006,150271
2019-06-28,141.699997,142.300003,138.500000,140.649994,140.649994,118929
2019-07-01,141.100006,150.399994,140.000000,145.500000,145.500000,1276623
2019-07-02,146.500000,147.850006,145.050003,146.949997,146.949997,248558
2019-07-03,147.050003,147.050003,142.250000,144.649994,144.649994,209716
2019-07-04,145.949997,147.949997,144.000000,145.750000,145.750000,155960
2019-07-05,146.850006,148.149994,139.449997,141.250000,141.250000,279364
2019-07-08,140.149994,142.399994,125.000000,132.300003,132.300003,399894
2019-07-09,132.649994,138.949997,129.149994,134.800003,134.800003,148336
2019-07-10,134.899994,136.500000,132.500000,133.199997,133.199997,72843
2019-07-11,135.000000,135.399994,128.649994,129.800003,129.800003,151654
2019-07-12,130.000000,133.149994,129.949997,131.399994,131.399994,150571
2019-07-15,132.500000,133.199997,126.699997,128.300003,128.300003,102226
2019-07-16,128.000000,128.300003,124.000000,125.000000,125.000000,385631
2019-07-17,126.199997,127.599998,124.500000,127.050003,127.050003,112428
2019-07-18,128.000000,129.000000,123.050003,126.900002,126.900002,379947
2019-07-19,127.500000,127.500000,121.550003,122.400002,122.400002,126106
2019-07-22,120.500000,122.000000,117.599998,120.000000,120.000000,99698
2019-07-23,120.199997,122.400002,117.199997,119.050003,119.050003,117007
2019-07-24,119.050003,121.699997,113.900002,119.900002,119.900002,1232246
2019-07-25,118.550003,121.099998,117.000000,120.099998,120.099998,262630
2019-07-26,118.400002,122.000000,117.500000,121.050003,121.050003,249834
2019-07-29,120.550003,123.800003,119.000000,120.300003,120.300003,37069
2019-07-30,120.300003,124.599998,118.250000,119.250000,119.250000,1029529
2019-07-31,119.099998,121.800003,111.599998,120.900002,120.900002,361587
2019-08-01,117.250000,121.949997,116.250000,119.349998,119.349998,254802
2019-08-02,117.000000,123.650002,115.199997,122.550003,122.550003,135927
2019-08-05,119.800003,125.849998,115.599998,123.500000,123.500000,144579
2019-08-06,121.500000,124.250000,119.250000,120.599998,120.599998,81737
2019-08-07,119.050003,128.500000,119.050003,126.949997,126.949997,173951
2019-08-08,126.000000,128.800003,119.500000,124.449997,124.449997,148845
2019-08-09,125.050003,125.949997,116.599998,119.800003,119.800003,296023
2019-08-13,120.050003,122.000000,116.349998,119.949997,119.949997,127940
2019-08-14,123.000000,123.800003,117.099998,119.949997,119.949997,277751
2019-08-16,119.000000,119.349998,117.050003,118.349998,118.349998,94272
2019-08-19,118.000000,119.000000,117.150002,117.750000,117.750000,113570
2019-08-20,117.849998,118.699997,115.000000,118.400002,118.400002,151218
2019-08-21,117.349998,119.849998,116.599998,117.449997,117.449997,147779
2019-08-22,117.449997,117.449997,109.150002,112.949997,112.949997,173555
2019-08-23,110.250000,111.599998,106.000000,106.650002,106.650002,257491
2019-08-26,110.750000,111.449997,101.500000,102.550003,102.550003,412560
2019-08-27,103.500000,105.000000,101.599998,102.400002,102.400002,185660
2019-08-28,102.599998,103.800003,97.150002,99.400002,99.400002,850651
